,Unidad,noIdentificacion,Descripción,Valor Unitario
,pz,COB135          ,"REDUCCION BUSH. DE COBRE 21/2"" A 2""     ",0
,pz,COB136          ,"REDUCCION BUSH. DE COBRE 3"" A 11/4""     ",0
,pz,COB137          ,"REDUCCION BUSH. DE COBRE 3"" A 11/2""     ",0
,pz,COB138          ,"REDUCCION BUSH..DE COBRE 3"" A 2""        ",0
,pz,COB139          ,"REDUCCION BUSH. DE COBRE 3"" A 21/2""     ",0
,pz,COB14           ,"TUBO DE COBRE DE 1/2"" TIPO M X MT       ",0
,pz,COB140          ,"REDUCCION BUSH. DE COBRE 4"" A 11/4""     ",0
,pz,COB141          ,"REDUCCION BUSH. DE COBRE 4"" A 11/2""     ",0
,pz,COB142          ,"REDUCCION BUSH.DE COBRE 4"" A 2""         ",0
,pz,COB143          ,"REDUCCION BUSH. DE COBRE 4"" A 21/2""     ",0
,pz,COB144          ,"REDUCCION BUSH. DE COBRE 4"" A 3""        ",0
,pz,COB145          ,"CODO DE COBRE DE 3/8"" X 45              ",0
,pz,COB146          ,"CODO DE COBRE DE 1/2"" X 45              ",0
,pz,COB147          ,"CODO DE COBRE DE 3/4"" X 45              ",0
,pz,COB148          ,"CODO DE COBRE DE    1"" X 45             ",0
,pz,COB149          ,"CODO DE COBRE DE 11/4"" X 45             ",0
,pz,COB15           ,"TUBO DE COBRE DE 3/4"" TIPO M X MT       ",0
,pz,COB150          ,"CODO DE COBRE DE 11/2"" X 45             ",0
,pz,COB151          ,"CODO DE COBRE DE 2"" X 45                ",0
,pz,COB152          ,"CODO DE COBRE DE 21/2"" X 45             ",0
,pz,COB153          ,"CODO DE COBRE DE 3"" X 45                ",0
,pz,COB154          ,"CODO DE COBRE DE 4"" X 45                ",0
,pz,COB155          ,"CODO DE COBRE DE 3/8"" X 90              ",0
,pz,COB156          ,"CODO DE COBRE DE 1/2"" X 90              ",0
,pz,COB157          ,"CODO DE COBRE DE 3/4"" X 90              ",0
,pz,COB158          ,"CODO DE COBRE DE 1"" X 90                ",0
,pz,COB159          ,"CODO DE COBRE DE 11/4"" X 90             ",0
,pz,COB16           ,"TUBO DE COBRE DE 1"" TIPO M X MT         ",0
,pz,COB160          ,"CODO DE COBRE DE 11/2"" X 90             ",0
,pz,COB161          ,"CODO DE COBRE DE 2"" X 90                ",0
,pz,COB162          ,"CODO DE COBRE DE 21/2"" X 90             ",0
,pz,COB163          ,"CODO DE COBRE DE 3"" X 90                ",0
,pz,COB164          ,"CODO DE COBRE DE 4"" X 90""               ",0
,pz,COB165          ,"CODO DE COBRE RED. DE 1/2 A 3/8""        ",0
,pz,COB166          ,"CODO DE COBRE RED. DE 3/4 A 1/2""        ",0
,pz,COB167          ,"CODO DE COBRE RED. DE 1"" A 3/4""         ",0
,pz,COB168          ,"CODO DE COBRE R/EXTERIOR 3/8""           ",0
,pz,COB169          ,"CODO DE COBRE R/EXTERIOR 1/2""           ",0
,pz,COB17           ,"TUBO DE COBRE DE 1 1/4"" TIPO M X MT     ",0
